abilities,résistance,attack,base_egg_steps,base_total,capture_rate,classfication,defense,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary
"['Clear Body', 'Light Metal']","16,25",55,10240,300,3,Iron Ball Pokémon,80,40,Beldum,,374,35,60,30,steel,psychic,3,0
"['Clear Body', 'Light Metal']","16,25",75,10240,420,3,Iron Claw Pokémon,100,60,Metang,,375,55,80,50,steel,psychic,3,0
"['Clear Body', 'Light Metal']","16,25",145,10240,700,3,Iron Leg Pokémon,150,80,Metagross,,376,105,110,110,steel,psychic,3,0
"['Clear Body', 'Sturdy']",21,100,20480,580,3,Rock Peak Pokémon,200,80,Regirock,,377,50,100,50,rock,,3,1
"['Clear Body', 'Ice Body']","21,5",50,20480,580,3,Iceberg Pokémon,100,80,Regice,,378,100,200,50,ice,,3,1
"['Clear Body', 'Light Metal']",15,75,20480,580,3,Iron Pokémon,150,80,Registeel,,379,75,150,50,steel,,3,1
['Levitate'],21,100,30720,700,3,Eon Pokémon,120,80,Latias,0,380,140,150,110,dragon,psychic,3,1
['Levitate'],21,130,30720,700,3,Eon Pokémon,100,80,Latios,100,381,160,120,110,dragon,psychic,3,1
['Drizzle'],18,150,30720,770,3,Sea Basin Pokémon,90,100,Kyogre,,382,180,160,90,water,,3,1
['Drought'],19,180,30720,770,3,Continent Pokémon,160,100,Groudon,,383,150,90,90,ground,,3,1
['Air Lock'],"20,25",180,30720,780,45,Sky High Pokémon,100,105,Rayquaza,,384,180,100,115,dragon,flying,3,1
['Serene Grace'],"16,25",100,30720,600,3,Wish Pokémon,100,100,Jirachi,,385,100,100,100,steel,psychic,3,1
['Pressure'],20,95,30720,600,3,DNA Pokémon,90,50,Deoxys,,386,95,90,180,psychic,,3,1
"['Overgrow', 'Shell Armor']",21,68,5120,318,45,Tiny Leaf Pokémon,64,55,Turtwig,"88,1",387,45,55,31,grass,,4,0
"['Overgrow', 'Shell Armor']",21,89,5120,405,45,Grove Pokémon,85,75,Grotle,"88,1",388,55,65,36,grass,,4,0
"['Overgrow', 'Shell Armor']",22,109,5120,525,45,Continent Pokémon,105,95,Torterra,"88,1",389,75,85,56,grass,ground,4,0
"['Blaze', 'Iron Fist']",18,58,5120,309,45,Chimp Pokémon,44,44,Chimchar,"88,1",390,58,44,61,fire,,4,0
"['Blaze', 'Iron Fist']","18,75",78,5120,405,45,Playful Pokémon,52,64,Monferno,"88,1",391,78,52,81,fire,fighting,4,0
"['Blaze', 'Iron Fist']","18,75",104,5120,534,45,Flame Pokémon,71,76,Infernape,"88,1",392,104,71,108,fire,fighting,4,0
"['Torrent', 'Defiant']",18,51,5120,314,45,Penguin Pokémon,53,53,Piplup,"88,1",393,61,56,40,water,,4,0
"['Torrent', 'Defiant']",18,66,5120,405,45,Penguin Pokémon,68,64,Prinplup,"88,1",394,81,76,50,water,,4,0
"['Torrent', 'Defiant']","14,5",86,5120,530,45,Emperor Pokémon,88,84,Empoleon,"88,1",395,111,101,60,water,steel,4,0
"['Keen Eye', 'Reckless']",18,55,3840,245,255,Starling Pokémon,30,40,Starly,50,396,30,30,60,normal,flying,4,0
"['Intimidate', 'Reckless']",18,75,3840,340,120,Starling Pokémon,50,55,Staravia,50,397,40,40,80,normal,flying,4,0
"['Intimidate', 'Reckless']",18,120,3840,485,45,Predator Pokémon,70,85,Staraptor,50,398,50,60,100,normal,flying,4,0
"['Simple', 'Unaware', 'Moody']",18,45,3840,250,255,Plump Mouse Pokémon,40,59,Bidoof,50,399,35,40,31,normal,,4,0
"['Simple', 'Unaware', 'Moody']",18,85,3840,410,127,Beaver Pokémon,60,79,Bibarel,50,400,55,60,71,normal,water,4,0
"['Shed Skin', 'Run Away']","19,5",25,3840,194,255,Cricket Pokémon,41,37,Kricketot,50,401,25,41,25,bug,,4,0
"['Swarm', 'Technician']","19,5",85,3840,384,45,Cricket Pokémon,51,77,Kricketune,50,402,55,51,65,bug,,4,0
"['Rivalry', 'Intimidate', 'Guts']","17,5",65,5120,263,235,Flash Pokémon,34,45,Shinx,50,403,40,34,45,electric,,4,0
"['Rivalry', 'Intimidate', 'Guts']","17,5",85,5120,363,120,Spark Pokémon,49,60,Luxio,50,404,60,49,60,electric,,4,0
"['Rivalry', 'Intimidate', 'Guts']","17,5",120,5120,523,45,Gleam Eyes Pokémon,79,80,Luxray,50,405,95,79,70,electric,,4,0
"['Natural Cure', 'Poison Point', 'Leaf Guard']","19,25",30,5120,280,255,Bud Pokémon,35,40,Budew,50,406,50,70,55,grass,poison,4,0
"['Natural Cure', 'Poison Point', 'Technician']","19,25",70,5120,515,75,Bouquet Pokémon,65,60,Roserade,50,407,125,105,90,grass,poison,4,0
"['Mold Breaker', 'Sheer Force']",21,125,7680,350,45,Head Butt Pokémon,40,67,Cranidos,"88,1",408,30,30,58,rock,,4,0
"['Mold Breaker', 'Sheer Force']",21,165,7680,495,45,Head Butt Pokémon,60,97,Rampardos,"88,1",409,65,50,58,rock,,4,0
"['Sturdy', 'Soundproof']","19,5",42,7680,350,45,Shield Pokémon,118,30,Shieldon,"88,1",410,42,88,30,rock,steel,4,0
"['Sturdy', 'Soundproof']","19,5",52,7680,495,45,Shield Pokémon,168,60,Bastiodon,"88,1",411,47,138,30,rock,steel,4,0
"['Shed Skin', 'Overcoat']","19,5",29,3840,224,120,Bagworm Pokémon,45,40,Burmy,50,412,29,45,36,bug,,4,0
"['Anticipation', 'Overcoat']",25,69,3840,424,45,Bagworm Pokémon,95,60,Wormadam,0,413,69,95,36,bug,grass,4,0
"['Swarm', 'Tinted Lens']",22,94,3840,424,45,Moth Pokémon,50,70,Mothim,100,414,94,50,66,bug,flying,4,0
"['Honey Gather', 'Hustle']",22,30,3840,244,120,Tiny Bee Pokémon,42,30,Combee,"88,1",415,30,42,70,bug,flying,4,0
"['Pressure', 'Unnerve']",22,80,3840,474,45,Beehive Pokémon,102,70,Vespiquen,0,416,80,102,40,bug,flying,4,0
"['Run Away', 'Pickup', 'Volt Absorb']","17,5",45,2560,405,200,EleSquirrel Pokémon,70,60,Pachirisu,50,417,45,90,95,electric,,4,0
"['Swift Swim', 'Water Veil']",18,65,5120,330,190,Sea Weasel Pokémon,35,55,Buizel,50,418,60,30,85,water,,4,0
"['Swift Swim', 'Water Veil']",18,105,5120,495,75,Sea Weasel Pokémon,55,85,Floatzel,50,419,85,50,115,water,,4,0
['Chlorophyll'],21,35,5120,275,190,Cherry Pokémon,45,45,Cherubi,50,420,62,53,35,grass,,4,0
['Flower Gift'],21,60,5120,450,75,Blossom Pokémon,70,70,Cherrim,50,421,87,78,85,grass,,4,0
"['Sticky Hold', 'Storm Drain', 'Sand Force']",18,48,5120,325,190,Sea Slug Pokémon,48,76,Shellos,50,422,57,62,34,water,,4,0
"['Sticky Hold', 'Storm Drain', 'Sand Force']",18,83,5120,475,75,Sea Slug Pokémon,68,111,Gastrodon,50,423,92,82,39,water,ground,4,0
"['Technician', 'Pickup', 'Skill Link']",18,100,5120,482,45,Long Tail Pokémon,66,75,Ambipom,50,424,60,66,115,normal,,4,0
"['Aftermath', 'Unburden', 'Flare Boost']","18,25",50,7680,348,125,Balloon Pokémon,34,90,Drifloon,50,425,60,44,70,ghost,flying,4,0
"['Aftermath', 'Unburden', 'Flare Boost']","18,25",80,7680,498,60,Blimp Pokémon,44,150,Drifblim,50,426,90,54,80,ghost,flying,4,0
"['Run Away', 'Klutz', 'Limber']",18,66,5120,350,190,Rabbit Pokémon,44,55,Buneary,50,427,44,56,85,normal,,4,0
"['Cute Charm', 'Klutz', 'Limber']",18,136,5120,580,60,Rabbit Pokémon,94,65,Lopunny,50,428,54,96,135,normal,,4,0
['Levitate'],17,60,6400,495,45,Magical Pokémon,60,60,Mismagius,50,429,105,105,105,ghost,,4,0
"['Insomnia', 'Super Luck', 'Moxie']","18,5",125,5120,505,30,Big Boss Pokémon,52,100,Honchkrow,50,430,105,52,71,dark,flying,4,0
"['Limber', 'Own Tempo', 'Keen Eye']",18,55,5120,310,190,Catty Pokémon,42,49,Glameow,"24,6",431,42,37,85,normal,,4,0
"['Thick Fat', 'Own Tempo', 'Defiant']",18,82,5120,452,75,Tiger Cat Pokémon,64,71,Purugly,"24,6",432,64,59,112,normal,,4,0
['Levitate'],20,30,6400,285,120,Bell Pokémon,50,45,Chingling,50,433,65,50,45,psychic,,4,0
"['Stench', 'Aftermath', 'Keen Eye']",16,63,5120,329,225,Skunk Pokémon,47,63,Stunky,50,434,41,41,74,poison,dark,4,0
"['Stench', 'Aftermath', 'Keen Eye']",16,93,5120,479,60,Skunk Pokémon,67,103,Skuntank,50,435,71,61,84,poison,dark,4,0
"['Levitate', 'Heatproof', 'Heavy Metal']","16,25",24,5120,300,255,Bronze Pokémon,86,57,Bronzor,,436,24,86,23,steel,psychic,4,0
"['Levitate', 'Heatproof', 'Heavy Metal']","16,25",89,5120,500,90,Bronze Bell Pokémon,116,67,Bronzong,,437,79,116,33,steel,psychic,4,0
"['Sturdy', 'Rock Head', 'Rattled']",21,80,5120,290,255,Bonsai Pokémon,95,50,Bonsly,50,438,10,45,10,rock,,4,0
"['Soundproof', 'Filter', 'Technician']","18,75",25,6400,310,145,Mime Pokémon,45,20,"Mime Jr,",50,439,70,90,60,psychic,fairy,4,0
"['Natural Cure', 'Serene Grace', 'Friend Guard']",18,5,10240,220,130,Playhouse Pokémon,5,100,Happiny,0,440,15,65,30,normal,,4,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",18,65,5120,411,30,Music Note Pokémon,45,76,Chatot,50,441,92,42,91,normal,flying,4,0
"['Pressure', 'Infiltrator']","15,5",92,7680,485,100,Forbidden Pokémon,108,50,Spiritomb,50,442,92,108,35,ghost,dark,4,0
"['Sand Veil', 'Rough Skin']","20,5",70,10240,300,45,Land Shark Pokémon,45,58,Gible,50,443,40,45,42,dragon,ground,4,0
"['Sand Veil', 'Rough Skin']","20,5",90,10240,410,45,Cave Pokémon,65,68,Gabite,50,444,50,55,82,dragon,ground,4,0
"['Sand Veil', 'Rough Skin']","20,5",170,10240,700,45,Mach Pokémon,115,108,Garchomp,50,445,120,95,92,dragon,ground,4,0
"['Pickup', 'Thick Fat', 'Gluttony']",18,85,10240,390,50,Big Eater Pokémon,40,135,Munchlax,"88,1",446,40,85,5,normal,,4,0
"['Steadfast', 'Inner Focus', 'Prankster']","19,5",70,6400,285,75,Emanation Pokémon,40,40,Riolu,"88,1",447,35,40,60,fighting,,4,0
"['Steadfast', 'Inner Focus', 'Justified']","15,5",145,6400,625,45,Aura Pokémon,88,70,Lucario,"88,1",448,140,70,112,fighting,steel,4,0
"['Sand Stream', 'Sand Force']",19,72,7680,330,140,Hippo Pokémon,78,68,Hippopotas,50,449,38,42,32,ground,,4,0
"['Sand Stream', 'Sand Force']",19,112,7680,525,60,Heavyweight Pokémon,118,108,Hippowdon,50,450,68,72,47,ground,,4,0
"['Battle Armor', 'Sniper', 'Keen Eye']",19,50,5120,330,120,Scorpion Pokémon,90,40,Skorupi,50,451,30,55,65,poison,bug,4,0
"['Battle Armor', 'Sniper', 'Keen Eye']",16,90,5120,500,45,Ogre Scorp Pokémon,110,70,Drapion,50,452,60,75,95,poison,dark,4,0
"['Anticipation', 'Dry Skin', 'Poison Touch']","19,75",61,2560,300,140,Toxic Mouth Pokémon,40,48,Croagunk,50,453,61,40,50,poison,fighting,4,0
"['Anticipation', 'Dry Skin', 'Poison Touch']","19,75",106,5120,490,75,Toxic Mouth Pokémon,65,83,Toxicroak,50,454,86,65,85,poison,fighting,4,0
['Levitate'],21,100,6400,454,200,Bug Catcher Pokémon,72,74,Carnivine,50,455,90,72,46,grass,,4,0
"['Swift Swim', 'Storm Drain', 'Water Veil']",18,49,5120,330,190,Wing Fish Pokémon,56,49,Finneon,50,456,49,61,66,water,,4,0
"['Swift Swim', 'Storm Drain', 'Water Veil']",18,69,5120,460,75,Neon Pokémon,76,69,Lumineon,50,457,69,86,91,water,,4,0
"['Swift Swim', 'Water Absorb', 'Water Veil']","18,5",20,6400,345,25,Kite Pokémon,50,45,Mantyke,50,458,60,120,50,water,flying,4,0
"['Snow Warning', 'Soundproof']",25,62,5120,334,120,Frosted Tree Pokémon,50,60,Snover,50,459,62,60,40,grass,ice,4,0
"['Snow Warning', 'Soundproof']",25,132,5120,594,60,Frosted Tree Pokémon,105,90,Abomasnow,50,460,132,105,30,grass,ice,4,0
"['Pressure', 'Pickpocket']","23,5",120,5120,510,45,Sharp Claw Pokémon,65,70,Weavile,50,461,45,85,125,dark,ice,4,0
"['Magnet Pull', 'Sturdy', 'Analytic']",16,70,5120,535,30,Magnet Area Pokémon,115,70,Magnezone,,462,130,90,60,electric,steel,4,0
"['Own Tempo', 'Oblivious', 'Cloud Nine']",18,85,5120,515,30,Licking Pokémon,95,110,Lickilicky,50,463,80,95,50,normal,,4,0
"['Lightningrod', 'Solid Rock', 'Reckless']","24,25",140,5120,535,30,Drill Pokémon,130,115,Rhyperior,50,464,55,55,40,ground,rock,4,0
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",21,100,5120,535,30,Vine Pokémon,125,100,Tangrowth,50,465,110,50,50,grass,,4,0
"['Motor Drive', 'Vital Spirit']","17,5",123,6400,540,30,Thunderbolt Pokémon,67,75,Electivire,"75,4",466,95,85,95,electric,,4,0
"['Flame Body', 'Vital Spirit']",18,95,6400,540,30,Blast Pokémon,67,75,Magmortar,"75,4",467,125,95,83,fire,,4,0
"['Hustle', 'Serene Grace', 'Super Luck']","18,5",50,2560,545,30,Jubilee Pokémon,95,85,Togekiss,"88,1",468,120,115,80,fairy,flying,4,0
"['Speed Boost', 'Tinted Lens', 'Frisk']",22,76,5120,515,30,Ogre Darner Pokémon,86,86,Yanmega,50,469,116,56,95,bug,flying,4,0
"['Leaf Guard', 'Chlorophyll']",21,110,8960,525,45,Verdant Pokémon,130,65,Leafeon,"88,1",470,60,65,95,grass,,4,0
"['Snow Cloak', 'Ice Body']","21,5",60,8960,525,45,Fresh Snow Pokémon,110,65,Glaceon,"88,1",471,130,95,65,ice,,4,0
"['Hyper Cutter', 'Sand Veil', 'Poison Heal']","18,5",95,5120,510,30,Fang Scorp Pokémon,125,75,Gliscor,50,472,45,75,95,ground,flying,4,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']","21,5",130,5120,530,50,Twin Tusk Pokémon,80,110,Mamoswine,50,473,70,60,80,ice,ground,4,0
"['Adaptability', 'Download', 'Analytic']",18,80,5120,535,30,Virtual Pokémon,70,85,Porygon-Z,,474,135,75,90,normal,,4,0
"['Steadfast', 'Justified']",20,165,5120,618,45,Blade Pokémon,95,68,Gallade,100,475,65,115,110,psychic,fighting,4,0
"['Sturdy', 'Magnet Pull', 'Sand Force']","19,5",55,5120,525,60,Compass Pokémon,145,60,Probopass,50,476,75,150,40,rock,steel,4,0
"['Pressure', 'Frisk']",17,100,6400,525,45,Gripper Pokémon,135,45,Dusknoir,50,477,65,135,45,ghost,,4,0
"['Snow Cloak', 'Cursed Body']","19,5",80,5120,480,75,Snow Land Pokémon,70,70,Froslass,0,478,80,70,110,ice,ghost,4,0
['Levitate'],"16,5",65,5120,520,45,Plasma Pokémon,107,50,Rotom,,479,105,107,86,electric,ghost,4,0
['Levitate'],20,75,20480,580,3,Knowledge Pokémon,130,75,Uxie,,480,75,130,95,psychic,,4,1
['Levitate'],20,105,20480,580,3,Emotion Pokémon,105,80,Mesprit,,481,105,105,80,psychic,,4,1
['Levitate'],20,125,20480,580,3,Willpower Pokémon,70,75,Azelf,,482,125,70,115,psychic,,4,1
"['Pressure', 'Telepathy']","14,25",120,30720,680,3,Temporal Pokémon,120,100,Dialga,,483,150,100,90,steel,dragon,4,1
"['Pressure', 'Telepathy']",18,120,30720,680,3,Spatial Pokémon,100,90,Palkia,,484,150,120,100,water,dragon,4,1
"['Flash Fire', 'Flame Body']","16,25",90,2560,600,3,Lava Dome Pokémon,106,91,Heatran,50,485,130,106,77,fire,steel,4,1
['Slow Start'],18,160,30720,670,3,Colossal Pokémon,110,110,Regigigas,,486,80,110,100,normal,,4,1
"['Pressure', 'Telepathy', 'Levitate']",18,120,30720,680,3,Renegade Pokémon,100,150,Giratina,,487,120,100,90,ghost,dragon,4,1
['Levitate'],20,70,30720,600,3,Lunar Pokémon,120,120,Cresselia,0,488,75,130,85,psychic,,4,1
['Hydration'],18,80,10240,480,30,Sea Drifter Pokémon,80,80,Phione,,489,80,80,80,water,,4,0
['Hydration'],18,100,2560,600,3,Seafaring Pokémon,100,100,Manaphy,,490,100,100,100,water,,4,1
['Bad Dreams'],19,90,30720,600,3,Pitch-Black Pokémon,90,70,Darkrai,,491,135,90,125,dark,,4,1
"['Natural Cure', 'Serene Grace']",21,103,30720,600,45,Gratitude Pokémon,75,100,Shaymin,,492,120,75,127,grass,grass,4,1
['Multitype'],18,120,30720,720,3,Alpha Pokémon,120,120,Arceus,,493,120,120,120,normal,,4,1
['Victory Star'],"19,5",100,30720,600,3,Victory Pokémon,100,100,Victini,,494,100,100,100,psychic,fire,5,1
"['Overgrow', 'Contrary']",21,45,5120,308,45,Grass Snake Pokémon,55,45,Snivy,"88,1",495,45,55,63,grass,,5,0
"['Overgrow', 'Contrary']",21,60,5120,413,45,Grass Snake Pokémon,75,60,Servine,"88,1",496,60,75,83,grass,,5,0
"['Overgrow', 'Contrary']",21,75,5120,528,45,Regal Pokémon,95,75,Serperior,"88,1",497,75,95,113,grass,,5,0
"['Blaze', 'Thick Fat']",18,63,5120,308,45,Fire Pig Pokémon,45,65,Tepig,"88,1",498,45,45,45,fire,,5,0
"['Blaze', 'Thick Fat']","18,75",93,5120,418,45,Fire Pig Pokémon,55,90,Pignite,"88,1",499,70,55,55,fire,fighting,5,0
"['Blaze', 'Reckless']","18,75",123,5120,528,45,Mega Fire Pig Pokémon,65,110,Emboar,"88,1",500,100,65,65,fire,fighting,5,0
"['Torrent', 'Shell Armor']",18,55,5120,308,45,Sea Otter Pokémon,45,55,Oshawott,"88,1",501,63,45,45,water,,5,0
"['Torrent', 'Shell Armor']",18,75,5120,413,45,Discipline Pokémon,60,75,Dewott,"88,1",502,83,60,60,water,,5,0
"['Torrent', 'Shell Armor']",18,100,5120,528,45,Formidable Pokémon,85,95,Samurott,"88,1",503,108,70,70,water,,5,0
"['Run Away', 'Keen Eye', 'Analytic']",18,55,3840,255,255,Scout Pokémon,39,45,Patrat,50,504,35,39,42,normal,,5,0
"['Illuminate', 'Keen Eye', 'Analytic']",18,85,5120,420,255,Lookout Pokémon,69,60,Watchog,50,505,60,69,77,normal,,5,0
"['Vital Spirit', 'Pickup', 'Run Away']",18,60,3840,275,255,Puppy Pokémon,45,45,Lillipup,50,506,25,45,55,normal,,5,0
"['Intimidate', 'Sand Rush', 'Scrappy']",18,80,3840,370,120,Loyal Dog Pokémon,65,65,Herdier,50,507,35,65,60,normal,,5,0
"['Intimidate', 'Sand Rush', 'Scrappy']",18,110,3840,500,45,Big-Hearted Pokémon,90,85,Stoutland,50,508,45,90,80,normal,,5,0
"['Limber', 'Unburden', 'Prankster']",19,50,5120,281,255,Devious Pokémon,37,41,Purrloin,50,509,50,37,66,dark,,5,0
"['Limber', 'Unburden', 'Prankster']",19,88,5120,446,90,Cruel Pokémon,50,64,Liepard,50,510,88,50,106,dark,,5,0
"['Gluttony', 'Overgrow']",21,53,5120,316,190,Grass Monkey Pokémon,48,50,Pansage,"88,1",511,53,48,64,grass,,5,0
"['Gluttony', 'Overgrow']",21,98,5120,498,75,Thorn Monkey Pokémon,63,75,Simisage,"88,1",512,98,63,101,grass,,5,0
"['Gluttony', 'Blaze']",18,53,5120,316,190,High Temp Pokémon,48,50,Pansear,"88,1",513,53,48,64,fire,,5,0
"['Gluttony', 'Blaze']",18,98,5120,498,75,Ember Pokémon,63,75,Simisear,"88,1",514,98,63,101,fire,,5,0
"['Gluttony', 'Torrent']",18,53,5120,316,190,Spray Pokémon,48,50,Panpour,"88,1",515,53,48,64,water,,5,0
"['Gluttony', 'Torrent']",18,98,5120,498,75,Geyser Pokémon,63,75,Simipour,"88,1",516,98,63,101,water,,5,0
"['Forewarn', 'Synchronize', 'Telepathy']",20,25,2560,292,190,Dream Eater Pokémon,45,76,Munna,50,517,67,55,24,psychic,,5,0
"['Forewarn', 'Synchronize', 'Telepathy']",20,55,2560,487,75,Drowsing Pokémon,85,116,Musharna,50,518,107,95,29,psychic,,5,0
"['Big Pecks', 'Super Luck', 'Rivalry']",18,55,3840,264,255,Tiny Pigeon Pokémon,50,50,Pidove,50,519,36,30,43,normal,flying,5,0
"['Big Pecks', 'Super Luck', 'Rivalry']",18,77,3840,358,120,Wild Pigeon Pokémon,62,62,Tranquill,50,520,50,42,65,normal,flying,5,0
"['Big Pecks', 'Super Luck', 'Rivalry']",18,115,3840,488,45,Proud Pokémon,80,80,Unfezant,50,521,65,55,93,normal,flying,5,0
"['Lightningrod', 'Motor Drive', 'Sap Sipper']","17,5",60,5120,295,190,Electrified Pokémon,32,45,Blitzle,50,522,50,32,76,electric,,5,0
"['Lightningrod', 'Motor Drive', 'Sap Sipper']","17,5",100,5120,497,75,Thunderbolt Pokémon,63,75,Zebstrika,50,523,80,63,116,electric,,5,0
"['Sturdy', 'Weak Armor', 'Sand Force']",21,75,3840,280,255,Mantle Pokémon,85,55,Roggenrola,50,524,25,25,15,rock,,5,0
"['Sturdy', 'Weak Armor', 'Sand Force']",21,105,3840,390,120,Ore Pokémon,105,70,Boldore,50,525,50,40,20,rock,,5,0
"['Sturdy', 'Sand Stream', 'Sand Force']",21,135,3840,515,45,Compressed Pokémon,130,85,Gigalith,50,526,60,80,25,rock,,5,0
"['Unaware', 'Klutz', 'Simple']","20,25",45,3840,323,190,Bat Pokémon,43,65,Woobat,50,527,55,43,72,psychic,flying,5,0
"['Unaware', 'Klutz', 'Simple']","20,25",57,3840,425,45,Courting Pokémon,55,67,Swoobat,50,528,77,55,114,psychic,flying,5,0
"['Sand Rush', 'Sand Force', 'Mold Breaker']",19,85,5120,328,120,Mole Pokémon,40,60,Drilbur,50,529,30,45,68,ground,,5,0
"['Sand Rush', 'Sand Force', 'Mold Breaker']","15,75",135,5120,508,60,Subterrene Pokémon,60,110,Excadrill,50,530,50,65,88,ground,steel,5,0
"['Healer', 'Regenerator', 'Klutz']",18,60,5120,545,255,Hearing Pokémon,126,103,Audino,50,531,80,126,50,normal,,5,0
"['Guts', 'Sheer Force', 'Iron Fist']","19,5",80,5120,305,180,Muscular Pokémon,55,75,Timburr,"75,4",532,25,35,35,fighting,,5,0
"['Guts', 'Sheer Force', 'Iron Fist']","19,5",105,5120,405,90,Muscular Pokémon,85,85,Gurdurr,"75,4",533,40,50,40,fighting,,5,0
"['Guts', 'Sheer Force', 'Iron Fist']","19,5",140,5120,505,45,Muscular Pokémon,95,105,Conkeldurr,"75,4",534,55,65,45,fighting,,5,0
"['Swift Swim', 'Hydration', 'Water Absorb']",18,50,5120,294,255,Tadpole Pokémon,40,50,Tympole,50,535,50,40,64,water,,5,0
"['Swift Swim', 'Hydration', 'Water Absorb']",18,65,5120,384,120,Vibration Pokémon,55,75,Palpitoad,50,536,65,55,69,water,ground,5,0
"['Swift Swim', 'Poison Touch', 'Water Absorb']",18,95,5120,509,45,Vibration Pokémon,75,105,Seismitoad,50,537,85,75,74,water,ground,5,0
"['Guts', 'Inner Focus', 'Mold Breaker']","19,5",100,5120,465,45,Judo Pokémon,85,120,Throh,100,538,30,85,45,fighting,,5,0
"['Sturdy', 'Inner Focus', 'Mold Breaker']","19,5",125,5120,465,45,Karate Pokémon,75,75,Sawk,100,539,30,75,85,fighting,,5,0
"['Swarm', 'Chlorophyll', 'Overcoat']",25,53,3840,310,255,Sewing Pokémon,70,45,Sewaddle,50,540,40,60,42,bug,grass,5,0
"['Leaf Guard', 'Chlorophyll', 'Overcoat']",25,63,3840,380,120,Leaf-Wrapped Pokémon,90,55,Swadloon,50,541,50,80,42,bug,grass,5,0
"['Swarm', 'Chlorophyll', 'Overcoat']",25,103,3840,500,45,Nurturing Pokémon,80,75,Leavanny,50,542,70,80,92,bug,grass,5,0
"['Poison Point', 'Swarm', 'Speed Boost']",19,45,3840,260,255,Centipede Pokémon,59,30,Venipede,50,543,30,39,57,bug,poison,5,0
"['Poison Point', 'Swarm', 'Speed Boost']",19,55,3840,360,120,Curlipede Pokémon,99,40,Whirlipede,50,544,40,79,47,bug,poison,5,0
"['Poison Point', 'Swarm', 'Speed Boost']",19,100,5120,485,45,Megapede Pokémon,89,60,Scolipede,50,545,55,69,112,bug,poison,5,0
"['Prankster', 'Infiltrator', 'Chlorophyll']",21,27,5120,280,190,Cotton Puff Pokémon,60,40,Cottonee,50,546,37,50,66,grass,fairy,5,0
"['Prankster', 'Infiltrator', 'Chlorophyll']",21,67,5120,480,75,Windveiled Pokémon,85,60,Whimsicott,50,547,77,75,116,grass,fairy,5,0
"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",21,35,5120,280,190,Bulb Pokémon,50,45,Petilil,0,548,70,50,30,grass,,5,0
"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",21,60,5120,480,75,Flowering Pokémon,75,70,Lilligant,0,549,110,75,90,grass,,5,0
"['Reckless', 'Rock Head', 'Adaptability', 'Mold Breaker']",18,92,10240,460,25,Hostile Pokémon,65,70,Basculin,50,550,80,55,98,water,,5,0
"['Intimidate', 'Moxie', 'Anger Point']",20,72,5120,292,180,Desert Croc Pokémon,35,50,Sandile,50,551,35,35,65,ground,dark,5,0
"['Intimidate', 'Moxie', 'Anger Point']",20,82,5120,351,90,Desert Croc Pokémon,45,60,Krokorok,50,552,45,45,74,ground,dark,5,0
"['Intimidate', 'Moxie', 'Anger Point']",20,117,5120,519,45,Intimidation Pokémon,80,95,Krookodile,50,553,65,70,92,ground,dark,5,0
"['Hustle', 'Inner Focus']",18,90,5120,315,120,Zen Charm Pokémon,45,70,Darumaka,50,554,15,45,50,fire,,5,0
"['Sheer Force', 'Zen Mode']",18,30,5120,540,60,Blazing Pokémon,105,105,Darmanitan,50,555,140,105,55,fire,fire,5,0
"['Water Absorb', 'Chlorophyll', 'Storm Drain']",21,86,5120,461,255,Cactus Pokémon,67,75,Maractus,50,556,106,67,60,grass,,5,0
"['Sturdy', 'Shell Armor', 'Weak Armor']",20,65,5120,325,190,Rock Inn Pokémon,85,50,Dwebble,50,557,35,35,55,bug,rock,5,0
"['Sturdy', 'Shell Armor', 'Weak Armor']",20,105,5120,485,75,Stone Home Pokémon,125,70,Crustle,50,558,65,75,45,bug,rock,5,0
"['Shed Skin', 'Moxie', 'Intimidate']","20,25",75,3840,348,180,Shedding Pokémon,70,50,Scraggy,50,559,35,70,48,dark,fighting,5,0
"['Shed Skin', 'Moxie', 'Intimidate']","20,25",90,3840,488,90,Hoodlum Pokémon,115,65,Scrafty,50,560,45,115,58,dark,fighting,5,0
"['Wonder Skin ', 'Magic Guard', 'Tinted Lens']","20,25",58,5120,490,45,Avianoid Pokémon,80,72,Sigilyph,50,561,103,80,97,psychic,flying,5,0
['Mummy'],17,30,6400,303,190,Spirit Pokémon,85,38,Yamask,50,562,55,65,30,ghost,,5,0
['Mummy'],17,50,6400,483,90,Coffin Pokémon,145,58,Cofagrigus,50,563,95,105,30,ghost,,5,0
"['Solid Rock', 'Sturdy', 'Swift Swim']","21,25",78,7680,355,45,Prototurtle Pokémon,103,54,Tirtouga,"88,1",564,53,45,22,water,rock,5,0
"['Solid Rock', 'Sturdy', 'Swift Swim']","21,25",108,7680,495,45,Prototurtle Pokémon,133,74,Carracosta,"88,1",565,83,65,32,water,rock,5,0
['Defeatist'],"19,5",112,7680,401,45,First Bird Pokémon,45,55,Archen,"88,1",566,74,45,70,rock,flying,5,0
